Classes: 45
[name:create, type:FeedbacksController, file:otwcode_otwarchive\app\controllers\feedbacks_controller.rb, step:null]
[name:create_model, type:Object, file:null, step:Given ]
[name:current_user, type:User, file:otwcode_otwarchive\app\models\user.rb, step:Given ]
[name:day, type:Object, file:null, step:When ]
[name:destroy, type:UserSessionsController, file:otwcode_otwarchive\app\controllers\user_sessions_controller.rb, step:null]
[name:destroy, type:AdminSessionsController, file:otwcode_otwarchive\app\controllers\admin_sessions_controller.rb, step:null]
[name:each, type:SearchResult, file:otwcode_otwarchive\app\models\search_result.rb, step:Given ]
[name:each, type:SearchResult, file:otwcode_otwarchive\app\models\search_result.rb, step:When ]
[name:edit, type:BookmarksController, file:otwcode_otwarchive\app\controllers\api\v1\bookmarks_controller.rb, step:When ]
[name:edit, type:BookmarksController, file:otwcode_otwarchive\app\controllers\bookmarks_controller.rb, step:When ]
[name:edit, type:AdminPostsController, file:otwcode_otwarchive\app\controllers\admin_posts_controller.rb, step:null]
[name:email, type:Object, file:null, step:Then ]
[name:email_for, type:Email, file:otwcode_otwarchive\features\support\email.rb, step:Then ]
[name:emails, type:Object, file:null, step:Then ]
[name:fill_in, type:Object, file:null, step:When ]
[name:fill_in, type:Object, file:null, step:Given ]
[name:find, type:UserSession, file:otwcode_otwarchive\app\models\user_session.rb, step:Given ]
[name:find, type:UserSession, file:otwcode_otwarchive\app\models\user_session.rb, step:When ]
[name:find, type:People, file:otwcode_otwarchive\app\models\people.rb, step:When ]
[name:find, type:AdminSession, file:otwcode_otwarchive\app\models\admin_session.rb, step:Given ]
[name:find, type:AdminSession, file:otwcode_otwarchive\app\models\admin_session.rb, step:When ]
[name:find_by_login, type:User, file:otwcode_otwarchive\app\models\user.rb, step:Given ]
[name:find_by_login, type:User, file:otwcode_otwarchive\app\models\user.rb, step:When ]
[name:find_by_login, type:User, file:otwcode_otwarchive\app\models\user.rb, step:Then ]
[name:find_by_title, type:Work, file:otwcode_otwarchive\app\models\work.rb, step:When ]
[name:find_by_title, type:Collection, file:otwcode_otwarchive\app\models\collection.rb, step:When ]
[name:find_by_title!, type:Work, file:otwcode_otwarchive\app\models\work.rb, step:When ]
[name:find_or_create_by_name_and_canonical, type:Rating, file:otwcode_otwarchive\app\models\rating.rb, step:Given ]
