"REPO_URL","TASK_ID","#HASHES","HASHES","#PROD_FILES","#TEST_FILES","LAST"
"https://github.com/otwcode/otwarchive.git","36","13","[88c1263e5729f91f4a6db2be8fbfdaa0e8f1a1fc, c6524e0a7cb66c1b0baf13caf61f9b70a8a0738f, 11da0ee274a06490b7f4c945b4289befbd666062, 59c908f5ef52cbca6070dc11da34760b7170c5b0, d4bfedce8ee0d87d69a089ea27e9cafbd5d7cec7, 3ad91263401224574ce1b1cb2f77a344b9534790, a7ef6bc3f5667dde119ed1e948d9f4be03f17f6d, 3cb4d7e740ac5ea3e0870fcd3ea962fdd66d7dfe, 72580c3c7d0637caea9f325d9793a89af468b443, e98423f7043ccb2aec4fa0ed87c926d69133e306, 46b187c367c0b74100c0a6afb4cbe1e15b9c2141, 3c3deaf7fc5d01473966670ddefb14b7fd63868e, 5850c9628160691e04b6911c0345818f5dce3b6c]","4","6","5850c9628160691e04b6911c0345818f5dce3b6c"
"https://github.com/otwcode/otwarchive.git","44","61","[b926fc743a209a2ed80cc99265992f7cc4df870d, 4e979311299a9e800b68ff203366218c66c3e502, cf1889aea087e109c9e4edb8f0576340fb8773fa, 7b1cd74ef5ba08cc702010545a4a5a7f1425a432, a2632731329c4773535ce4c200b9a4197a07ee49, bde77f599b48244a757379b1e24ceb35a99325a3, 9d40b0ac08b6c9a07f9e77760169b65300f254f7, dcc7f4cdaffb0126fd6b69511abf1ce92875a12d, dc1d7b7397eb48af7e2603cefce131dc0c7f7af4, 7312eb03e9f5b59a5431d7eddafedf0d04ef3370, 5f14d62b68b29f9d1910a9279a1d10a658e61b9b, 7a3e8be991b29e92da7dac04162718dcc93315dd, 078ee9800d6884a9e2d91d7a4f40a0310a43d9d8, bd15d1f32e4477546733e12532e7dc719cb59bad, fb4e41a6be8dd70a7a1f71cf0134671c0d99622c, d5070e9f4203cd25dd448e5f9047de9124121e4c, 39a9a90ef290e29875d9ce71bfd938245b248aa0, 1304784ece4c3fff16d9f6a4bb113708049da29b, 6add70ab766a11266c166dc833264e7e957b61b2, dc1b0398582f39e10301e3d135b82988777b479c, bb7713b9f03d9d063ef931c5b10a0d656dadb5e9, 15b0cb2ce4c8ccb8aa21a048372fbb96c9150528, bc6357b8c79dbea9eba87df554036a3274d34e46, 5eb3be48f9cd4b356b17838db7a3e25999cf2687, b03e23d0c4e22f2c8b0bc3e4286f23ea0927cc94, 19da3152c42f938435aea8ba602fedd652af1fac, 26ab9c24646c68978fb342d05e2bedfbd1539233, dde09b6c8db20e2b58a694f5b1fadcf5a581926d, 8ba0d5e1fa4d97541c52c624cb34056d7233eb5e, f413f3bbf3a9a572c30e177135ec0b2b0d1d88fe, 15d8bec82f6379714148797399880d02c6dff11f, 1bdf567523a4841438617a5837bd186f5163b8f1, e7611caea332e71ea7e9611b569c494d0acfedb6, f863d15078b68727cfff7079f4c9de9240e97854, 98305a5d9be8ca03dd0036438b7030c98265d2cd, 454bda59ee261aff9ecd51d4e305242a2c3fa773, 90828b3be9ffb5d2cfbdafd2782730dfe9765d09, ec8ff2b353d868cda09469b198a9870e3f795050, cd918bfc72314a92561b37296099d87108fe2eab, 59c06fc618bacf1f47cd7c1acec75852da3e6ab7, 19bef2380b685ba0ba3c94c40d871b78d04c368b, 18c4aee9f465bce16e424e0658631f938bfc05d2, 28b77d243a4811cac2600ffb8f9e2e5e1fc4fd5a, 51992912fa2d5ed61c23ddb24c890a1fcc1ae795, e2ca1df465ba113e1f8ab59992a11ff3d07db51f, 360d1ed73ae0312f2d71c8b2bb413ae8b4313e68, 1348e5917ff79be69b8524bcc5b99e0cb7a76a82, 66ddae119b3f7854f9fcd79550459c93cc4231c5, fce8d92f3e38c59211205728077c856b66f831d3, 6b17444bf7a9f2ac96d0bb74103334f786dd35d3, 88ff590a30dcb419871acb5ccc319820ccafbde5, 85bb5cf0dcc68bfaeb83c9c39cbe8d6101918c5e, f678a1c14a9111b3bdd7341d307b71514d04520d, c9bfc2d19183764717c294a616754a21578115dc, 48a8283bcfb4d469e5e24477a6250cb2a3bc2530, 3b5b38929a20790ceb08572de026113feb25e6a5, 10986382632bfbabe2dadb3e34d6d30cb26ef580, d180f2c2a6d2e482645a667f1d71003cabb850fa, 5e9b4dca224e886795c90ce600165a43f414efca, 35001e91276f56cf94b05886aacbddaf3bc20a84, d0eb5a9f6f04a5ec267c2341f6bbfa62256329a0]","6","9","d0eb5a9f6f04a5ec267c2341f6bbfa62256329a0"
"https://github.com/otwcode/otwarchive.git","49","35","[b926fc743a209a2ed80cc99265992f7cc4df870d, 4e979311299a9e800b68ff203366218c66c3e502, cf1889aea087e109c9e4edb8f0576340fb8773fa, 7b1cd74ef5ba08cc702010545a4a5a7f1425a432, a2632731329c4773535ce4c200b9a4197a07ee49, bde77f599b48244a757379b1e24ceb35a99325a3, 9d40b0ac08b6c9a07f9e77760169b65300f254f7, dcc7f4cdaffb0126fd6b69511abf1ce92875a12d, dc1d7b7397eb48af7e2603cefce131dc0c7f7af4, 7312eb03e9f5b59a5431d7eddafedf0d04ef3370, 5f14d62b68b29f9d1910a9279a1d10a658e61b9b, 7a3e8be991b29e92da7dac04162718dcc93315dd, 078ee9800d6884a9e2d91d7a4f40a0310a43d9d8, bd15d1f32e4477546733e12532e7dc719cb59bad, dde09b6c8db20e2b58a694f5b1fadcf5a581926d, 8ba0d5e1fa4d97541c52c624cb34056d7233eb5e, f413f3bbf3a9a572c30e177135ec0b2b0d1d88fe, 15d8bec82f6379714148797399880d02c6dff11f, 1bdf567523a4841438617a5837bd186f5163b8f1, e7611caea332e71ea7e9611b569c494d0acfedb6, f863d15078b68727cfff7079f4c9de9240e97854, 98305a5d9be8ca03dd0036438b7030c98265d2cd, 454bda59ee261aff9ecd51d4e305242a2c3fa773, 90828b3be9ffb5d2cfbdafd2782730dfe9765d09, ec8ff2b353d868cda09469b198a9870e3f795050, 51992912fa2d5ed61c23ddb24c890a1fcc1ae795, e2ca1df465ba113e1f8ab59992a11ff3d07db51f, 360d1ed73ae0312f2d71c8b2bb413ae8b4313e68, 1348e5917ff79be69b8524bcc5b99e0cb7a76a82, 66ddae119b3f7854f9fcd79550459c93cc4231c5, fce8d92f3e38c59211205728077c856b66f831d3, 85bb5cf0dcc68bfaeb83c9c39cbe8d6101918c5e, c9bfc2d19183764717c294a616754a21578115dc, 48a8283bcfb4d469e5e24477a6250cb2a3bc2530, 10986382632bfbabe2dadb3e34d6d30cb26ef580]","3","8","10986382632bfbabe2dadb3e34d6d30cb26ef580"
"https://github.com/otwcode/otwarchive.git","56","15","[fb4e41a6be8dd70a7a1f71cf0134671c0d99622c, d5070e9f4203cd25dd448e5f9047de9124121e4c, 39a9a90ef290e29875d9ce71bfd938245b248aa0, 1304784ece4c3fff16d9f6a4bb113708049da29b, 6add70ab766a11266c166dc833264e7e957b61b2, dc1b0398582f39e10301e3d135b82988777b479c, bb7713b9f03d9d063ef931c5b10a0d656dadb5e9, 15b0cb2ce4c8ccb8aa21a048372fbb96c9150528, bc6357b8c79dbea9eba87df554036a3274d34e46, 5eb3be48f9cd4b356b17838db7a3e25999cf2687, 19da3152c42f938435aea8ba602fedd652af1fac, 26ab9c24646c68978fb342d05e2bedfbd1539233, 28b77d243a4811cac2600ffb8f9e2e5e1fc4fd5a, 85bb5cf0dcc68bfaeb83c9c39cbe8d6101918c5e, 48a8283bcfb4d469e5e24477a6250cb2a3bc2530]","2","3","48a8283bcfb4d469e5e24477a6250cb2a3bc2530"
"https://github.com/otwcode/otwarchive.git","71","55","[f8b613266606a03bd04ae4ff3400261f3869681b, 7f620ddd8e56a38c02f15a2bc2739f3642e29579, c7660557eedf22bb884c83224c419b8f9bb23786, fe04f6cc440b143bfbe6426fd974ff250318ee97, 87dff4861513e0f963abdcc588713c799135a5fc, 3ed1ecb30ce926151f33859410657fab79480cb4, f3ae1220ad41a5bc1f4a4c84b5e7ac69bcedc77d, db177a18b0f83de080fa92be9121d95c83594af9, f56816d651ffdd6b11cb737af11a768138911c10, 750df1c622d62850fe254c853dc6feb0ddf666e3, d4c30ed5554e1e677b3487f8082d59e707b0ff77, 8d83d3204d6c8a0d5bc1ef22362e7f0f83a8109e, 1a140adbacfb9fdaf48240badd72e51f535c6fbd, b7b04a3f9534bf98dc80c73027b8953dd15a52e0, 2a9d3e01e5b993da4c4454ef064940507e7ebb82, 6c29f1585c0d2f3a9cd859aad644ab403f5ea8ab, f6abdb03deefa510763b4f91f89636711897ee13, 2fe22c62ca362292cb7356ad5b20d571c61073d1, aa30bbddcc095fb1fa8e3cf4cded531f12f3a8c0, a13203e8e4015f38e51553377e3e09e0d380633c, fa77115c922e35d928edccaea37acf5d905ab430, 9862f25a960aa6c5f8e27c910fc093441b140efd, c8ea564d1965d60e8b2740bea054adce67758511, d5ecc9643087bf28b7286a06d1a2c32122525b26, 39832b18eb057af077ce28f84cf76e9efb24d43d, fd4ac7f98f7964f401f4b65bb20e7877a800d601, 28bd28cebd35c8b5abb1e51b6d37f8c62ca5badc, 6d749c0238f6d1b5196371a93215f634bea83868, 021ce1c114f21eaa0ac13b72167c6cd244259af2, 88fa278aecbd601947760c7f70df0447fb8f51b3, e606f594371f22618015db158ddcd241bce3909f, 81fd2c037b9debfc8b09afb8258548bed16ca60a, 1808f5c00b7f39fabf37b60da0f32e3bba4ae319, 698aed44a837dcbde5749f042ad4a0aa0e733c0b, 6d6a754575276ef53b297e70c374303794b867e2, 2f9e73166ee6f0bf8485f40978b80a02670d503e, b6fb08e74fb9e289367cb7faf8b1b09cd9dd4096, 076b1b5ff995795f5f2793335bc0c2a8f984b5bf, fa9ed90811310b1f68f716735c679cf8dada3b6f, bb142cc34317510db584928688685fa86c9fb07d, f620ae375cae92a6d9be3228dd5a5af525ec976e, 75ee7392f97420899e332effbc04a24e47829a7e, 8315b28c1563f2a95a8b141a4819c37579fd0b52, ef51c112ba9c15edbf3f21e97f972d124c586c3c, 6578c4ecd014efd98ca07ffa78c8ff4b5eef2384, 4b94a4e2cb6967411771c1c6449f8a956b92e023, f26372012b5b10e63012d83d1cdff60aaa46bb11, 9baa2da474a94dd269df2a33fab620439a64ab4b, 7812844ba0093995442e9f00022f7e728576ea28, 8ccb6da1d89f803fa2379dbbc2a4c40a340bf7f5, cfbbe11792b5ad1a4416ae111f0476c2b2a96d8f, 88e52bae6a7b44b4fee178b3c9fa9bde0d945e99, ac4050822327d1843258f5e3e63b38f503cb05ae, 5a0aeedae2211140f5932e86d26d94090b403519, 6af581c149cf87100068e4499e4cb5df14f13a0b]","13","7","6af581c149cf87100068e4499e4cb5df14f13a0b"
"https://github.com/otwcode/otwarchive.git","73","13","[87dff4861513e0f963abdcc588713c799135a5fc, 39832b18eb057af077ce28f84cf76e9efb24d43d, fa9ed90811310b1f68f716735c679cf8dada3b6f, bb142cc34317510db584928688685fa86c9fb07d, f620ae375cae92a6d9be3228dd5a5af525ec976e, 75ee7392f97420899e332effbc04a24e47829a7e, 8315b28c1563f2a95a8b141a4819c37579fd0b52, ef51c112ba9c15edbf3f21e97f972d124c586c3c, 6578c4ecd014efd98ca07ffa78c8ff4b5eef2384, 7812844ba0093995442e9f00022f7e728576ea28, 8ccb6da1d89f803fa2379dbbc2a4c40a340bf7f5, 88e52bae6a7b44b4fee178b3c9fa9bde0d945e99, 5a0aeedae2211140f5932e86d26d94090b403519]","11","6","5a0aeedae2211140f5932e86d26d94090b403519"
"https://github.com/otwcode/otwarchive.git","74","11","[81fd2c037b9debfc8b09afb8258548bed16ca60a, 698aed44a837dcbde5749f042ad4a0aa0e733c0b, 6d6a754575276ef53b297e70c374303794b867e2, 2f9e73166ee6f0bf8485f40978b80a02670d503e, b6fb08e74fb9e289367cb7faf8b1b09cd9dd4096, 076b1b5ff995795f5f2793335bc0c2a8f984b5bf, 4b94a4e2cb6967411771c1c6449f8a956b92e023, f26372012b5b10e63012d83d1cdff60aaa46bb11, 9baa2da474a94dd269df2a33fab620439a64ab4b, cfbbe11792b5ad1a4416ae111f0476c2b2a96d8f, ac4050822327d1843258f5e3e63b38f503cb05ae]","2","1","ac4050822327d1843258f5e3e63b38f503cb05ae"
"https://github.com/otwcode/otwarchive.git","75","41","[f8b613266606a03bd04ae4ff3400261f3869681b, 7f620ddd8e56a38c02f15a2bc2739f3642e29579, c7660557eedf22bb884c83224c419b8f9bb23786, fe04f6cc440b143bfbe6426fd974ff250318ee97, 3ed1ecb30ce926151f33859410657fab79480cb4, f3ae1220ad41a5bc1f4a4c84b5e7ac69bcedc77d, db177a18b0f83de080fa92be9121d95c83594af9, f56816d651ffdd6b11cb737af11a768138911c10, 750df1c622d62850fe254c853dc6feb0ddf666e3, d4c30ed5554e1e677b3487f8082d59e707b0ff77, 8d83d3204d6c8a0d5bc1ef22362e7f0f83a8109e, 1a140adbacfb9fdaf48240badd72e51f535c6fbd, b7b04a3f9534bf98dc80c73027b8953dd15a52e0, 2a9d3e01e5b993da4c4454ef064940507e7ebb82, 6c29f1585c0d2f3a9cd859aad644ab403f5ea8ab, f6abdb03deefa510763b4f91f89636711897ee13, 2fe22c62ca362292cb7356ad5b20d571c61073d1, aa30bbddcc095fb1fa8e3cf4cded531f12f3a8c0, a13203e8e4015f38e51553377e3e09e0d380633c, fa77115c922e35d928edccaea37acf5d905ab430, 9862f25a960aa6c5f8e27c910fc093441b140efd, c8ea564d1965d60e8b2740bea054adce67758511, d5ecc9643087bf28b7286a06d1a2c32122525b26, 39832b18eb057af077ce28f84cf76e9efb24d43d, fd4ac7f98f7964f401f4b65bb20e7877a800d601, 28bd28cebd35c8b5abb1e51b6d37f8c62ca5badc, 6d749c0238f6d1b5196371a93215f634bea83868, 021ce1c114f21eaa0ac13b72167c6cd244259af2, 88fa278aecbd601947760c7f70df0447fb8f51b3, e606f594371f22618015db158ddcd241bce3909f, 1808f5c00b7f39fabf37b60da0f32e3bba4ae319, fa9ed90811310b1f68f716735c679cf8dada3b6f, bb142cc34317510db584928688685fa86c9fb07d, f620ae375cae92a6d9be3228dd5a5af525ec976e, 75ee7392f97420899e332effbc04a24e47829a7e, 8315b28c1563f2a95a8b141a4819c37579fd0b52, ef51c112ba9c15edbf3f21e97f972d124c586c3c, 6578c4ecd014efd98ca07ffa78c8ff4b5eef2384, 7812844ba0093995442e9f00022f7e728576ea28, 8ccb6da1d89f803fa2379dbbc2a4c40a340bf7f5, 88e52bae6a7b44b4fee178b3c9fa9bde0d945e99]","1","6","88e52bae6a7b44b4fee178b3c9fa9bde0d945e99"
"https://github.com/otwcode/otwarchive.git","79","30","[f8b613266606a03bd04ae4ff3400261f3869681b, 7f620ddd8e56a38c02f15a2bc2739f3642e29579, c7660557eedf22bb884c83224c419b8f9bb23786, fe04f6cc440b143bfbe6426fd974ff250318ee97, 3ed1ecb30ce926151f33859410657fab79480cb4, f3ae1220ad41a5bc1f4a4c84b5e7ac69bcedc77d, db177a18b0f83de080fa92be9121d95c83594af9, f56816d651ffdd6b11cb737af11a768138911c10, 750df1c622d62850fe254c853dc6feb0ddf666e3, d4c30ed5554e1e677b3487f8082d59e707b0ff77, 8d83d3204d6c8a0d5bc1ef22362e7f0f83a8109e, 1a140adbacfb9fdaf48240badd72e51f535c6fbd, b7b04a3f9534bf98dc80c73027b8953dd15a52e0, 2a9d3e01e5b993da4c4454ef064940507e7ebb82, 6c29f1585c0d2f3a9cd859aad644ab403f5ea8ab, f6abdb03deefa510763b4f91f89636711897ee13, 2fe22c62ca362292cb7356ad5b20d571c61073d1, aa30bbddcc095fb1fa8e3cf4cded531f12f3a8c0, a13203e8e4015f38e51553377e3e09e0d380633c, fa77115c922e35d928edccaea37acf5d905ab430, 9862f25a960aa6c5f8e27c910fc093441b140efd, c8ea564d1965d60e8b2740bea054adce67758511, d5ecc9643087bf28b7286a06d1a2c32122525b26, fd4ac7f98f7964f401f4b65bb20e7877a800d601, 28bd28cebd35c8b5abb1e51b6d37f8c62ca5badc, 6d749c0238f6d1b5196371a93215f634bea83868, 021ce1c114f21eaa0ac13b72167c6cd244259af2, 88fa278aecbd601947760c7f70df0447fb8f51b3, e606f594371f22618015db158ddcd241bce3909f, 1808f5c00b7f39fabf37b60da0f32e3bba4ae319]","1","3","1808f5c00b7f39fabf37b60da0f32e3bba4ae319"
"https://github.com/otwcode/otwarchive.git","81","2","[e606f594371f22618015db158ddcd241bce3909f, 1808f5c00b7f39fabf37b60da0f32e3bba4ae319]","1","3","1808f5c00b7f39fabf37b60da0f32e3bba4ae319"
