Classes: 40
[name:create, type:FoundingMembersController, file:oneclickorgs_one-click-orgs\app\controllers\founding_members_controller.rb, step:Then ]
[name:create, type:MeetingsController, file:oneclickorgs_one-click-orgs\app\controllers\meetings_controller.rb, step:Then ]
[name:create, type:MemberSessionsController, file:oneclickorgs_one-click-orgs\app\controllers\member_sessions_controller.rb, step:Then ]
[name:create, type:PasswordResetsController, file:oneclickorgs_one-click-orgs\app\controllers\password_resets_controller.rb, step:Then ]
[name:create, type:ProposalsController, file:oneclickorgs_one-click-orgs\app\controllers\proposals_controller.rb, step:Then ]
[name:current_url, type:Object, file:null, step:Then ]
[name:dashboard, type:OneClickController, file:oneclickorgs_one-click-orgs\app\controllers\one_click_controller.rb, step:Then ]
[name:dashboard, type:OneClickController, file:oneclickorgs_one-click-orgs\app\controllers\one_click_controller.rb, step:Given ]
[name:day, type:Object, file:null, step:When ]
[name:domain, type:Organisation, file:oneclickorgs_one-click-orgs\app\models\organisation.rb, step:Then ]
[name:each, type:Object, file:null, step:Then ]
[name:each, type:Object, file:null, step:Given ]
[name:each, type:Object, file:null, step:When ]
[name:edit, type:MembersController, file:oneclickorgs_one-click-orgs\app\controllers\members_controller.rb, step:Then ]
[name:edit, type:ConstitutionsController, file:oneclickorgs_one-click-orgs\app\controllers\constitutions_controller.rb, step:Then ]
[name:eject!, type:Object, file:null, step:Given ]
[name:email, type:AddMemberProposal, file:oneclickorgs_one-click-orgs\app\models\add_member_proposal.rb, step:Then ]
[name:email, type:Object, file:null, step:Then ]
[name:email, type:Member, file:oneclickorgs_one-click-orgs\app\models\member.rb, step:Then ]
[name:email, type:Object, file:null, step:Given ]
[name:email, type:Member, file:oneclickorgs_one-click-orgs\app\models\member.rb, step:Given ]
[name:fill_in, type:Object, file:null, step:When ]
[name:fill_in, type:Object, file:null, step:Given ]
[name:find_by_email, type:Object, file:null, step:Then ]
[name:find_by_email, type:Object, file:null, step:Given ]
[name:find_by_name, type:Object, file:null, step:Given ]
[name:find_by_name, type:Object, file:null, step:Then ]
[name:find_by_name, type:Object, file:null, step:When ]
[name:find_by_title, type:Object, file:null, step:Then ]
[name:first, type:Object, file:null, step:Then ]
[name:first, type:Object, file:null, step:When ]
[name:first, type:Object, file:null, step:Given ]
[name:first_name, type:Member, file:oneclickorgs_one-click-orgs\app\models\member.rb, step:Then ]
[name:first_name, type:AddMemberProposal, file:oneclickorgs_one-click-orgs\app\models\add_member_proposal.rb, step:Given ]
[name:first_name, type:Member, file:oneclickorgs_one-click-orgs\app\models\member.rb, step:Given ]
[name:follow_link_in_email, type:EmailSteps, file:oneclickorgs_one-click-orgs\features\step_definitions\email_steps.rb, step:When ]
[name:has_content?, type:Object, file:null, step:Then ]
[name:has_no_content?, type:Object, file:null, step:Then ]
[name:have_content, type:Object, file:null, step:Then ]
[name:have_css, type:Object, file:null, step:Then ]
[name:have_no_content, type:Object, file:null, step:Then ]
[name:have_selector, type:Object, file:null, step:Then ]
[name:host, type:Object, file:null, step:When ]
[name:host, type:Organisation, file:oneclickorgs_one-click-orgs\app\models\organisation.rb, step:Then ]
[name:id, type:Proposal, file:oneclickorgs_one-click-orgs\app\models\proposal.rb, step:Then ]
[name:id, type:Invitation, file:oneclickorgs_one-click-orgs\app\models\invitation.rb, step:Given ]
[name:id, type:ModelWrapper, file:oneclickorgs_one-click-orgs\lib\one_click_orgs\model_wrapper.rb, step:Given ]
[name:id, type:Object, file:null, step:When ]
[name:id, type:Director, file:oneclickorgs_one-click-orgs\app\models\director.rb, step:When ]
[name:id, type:Director, file:oneclickorgs_one-click-orgs\app\models\director.rb, step:Then ]
[name:id, type:Invitation, file:oneclickorgs_one-click-orgs\app\models\invitation.rb, step:When ]
[name:id, type:ModelWrapper, file:oneclickorgs_one-click-orgs\lib\one_click_orgs\model_wrapper.rb, step:When ]
[name:id, type:Invitation, file:oneclickorgs_one-click-orgs\app\models\invitation.rb, step:Then ]
[name:id, type:ModelWrapper, file:oneclickorgs_one-click-orgs\lib\one_click_orgs\model_wrapper.rb, step:Then ]
[name:include, type:Object, file:null, step:Given ]
[name:include, type:Object, file:null, step:Then ]
[name:include?, type:Object, file:null, step:Then ]
[name:index, type:MembersController, file:oneclickorgs_one-click-orgs\app\controllers\members_controller.rb, step:Then ]
[name:index, type:MembersController, file:oneclickorgs_one-click-orgs\app\controllers\members_controller.rb, step:Given ]
[name:join, type:Object, file:null, step:Then ]
[name:last, type:Member, file:oneclickorgs_one-click-orgs\app\models\member.rb, step:Then ]
[name:last, type:Object, file:null, step:Then ]
[name:last, type:Proposal, file:oneclickorgs_one-click-orgs\app\models\proposal.rb, step:Then ]
[name:last, type:Company, file:oneclickorgs_one-click-orgs\app\models\company.rb, step:Then ]
[name:last, type:Meeting, file:oneclickorgs_one-click-orgs\app\models\meeting.rb, step:Then ]
[name:last, type:Object, file:null, step:Given ]
[name:last, type:Object, file:null, step:When ]
[name:last, type:Organisation, file:oneclickorgs_one-click-orgs\app\models\organisation.rb, step:Then ]
[name:last, type:Proposal, file:oneclickorgs_one-click-orgs\app\models\proposal.rb, step:When ]
[name:last, type:Organisation, file:oneclickorgs_one-click-orgs\app\models\organisation.rb, step:Given ]
[name:last, type:Company, file:oneclickorgs_one-click-orgs\app\models\company.rb, step:Given ]
[name:last, type:Company, file:oneclickorgs_one-click-orgs\app\models\company.rb, step:When ]
[name:last_email, type:EmailSteps, file:oneclickorgs_one-click-orgs\features\step_definitions\email_steps.rb, step:Given ]
[name:last_email, type:EmailSteps, file:oneclickorgs_one-click-orgs\features\step_definitions\email_steps.rb, step:Then ]
[name:last_email, type:EmailSteps, file:oneclickorgs_one-click-orgs\features\step_definitions\email_steps.rb, step:When ]
[name:last_name, type:Member, file:oneclickorgs_one-click-orgs\app\models\member.rb, step:Then ]
[name:last_name, type:AddMemberProposal, file:oneclickorgs_one-click-orgs\app\models\add_member_proposal.rb, step:Given ]
[name:last_name, type:Member, file:oneclickorgs_one-click-orgs\app\models\member.rb, step:Given ]
[name:length, type:Object, file:null, step:Given ]
[name:limit, type:Object, file:null, step:When ]
[name:limit, type:Object, file:null, step:Then ]
[name:long_description, type:VotingSystems, file:oneclickorgs_one-click-orgs\app\models\voting_systems.rb, step:Then ]
[name:make!, type:Association, file:oneclickorgs_one-click-orgs\app\models\association.rb, step:Given ]
[name:make!, type:Object, file:null, step:Given ]
[name:make!, type:Object, file:null, step:When ]
[name:make!, type:Company, file:oneclickorgs_one-click-orgs\app\models\company.rb, step:Given ]
[name:map, type:Object, file:null, step:Then ]
[name:match, type:Object, file:null, step:When ]
[name:member, type:ChangeMemberClassProposal, file:oneclickorgs_one-click-orgs\app\models\change_member_class_proposal.rb, step:Then ]
[name:member_class, type:Object, file:null, step:Then ]
[name:members, type:Object, file:null, step:Given ]
[name:members, type:Object, file:null, step:When ]
[name:minimum_members_required_for_founding_vote, type:Organisation, file:oneclickorgs_one-click-orgs\app\models\organisation.rb, step:Given ]
[name:name, type:ChangeBooleanProposal, file:oneclickorgs_one-click-orgs\app\models\change_boolean_proposal.rb, step:Then ]
[name:name, type:ChangeTextProposal, file:oneclickorgs_one-click-orgs\app\models\change_text_proposal.rb, step:Then ]
[name:name, type:Member, file:oneclickorgs_one-click-orgs\app\models\member.rb, step:Then ]
[name:name, type:Organisation, file:oneclickorgs_one-click-orgs\app\models\organisation.rb, step:Then ]
[name:name, type:Organisation, file:oneclickorgs_one-click-orgs\app\models\organisation.rb, step:Given ]
[name:name, type:Object, file:null, step:Then ]
[name:name, type:ChangeBooleanProposal, file:oneclickorgs_one-click-orgs\app\models\change_boolean_proposal.rb, step:When ]
[name:name, type:ChangeTextProposal, file:oneclickorgs_one-click-orgs\app\models\change_text_proposal.rb, step:When ]
[name:name, type:Member, file:oneclickorgs_one-click-orgs\app\models\member.rb, step:When ]
[name:name, type:Organisation, file:oneclickorgs_one-click-orgs\app\models\organisation.rb, step:When ]
[name:name_for_value, type:VotingPeriods, file:oneclickorgs_one-click-orgs\app\models\voting_periods.rb, step:Then ]
[name:new, type:AssociationsController, file:oneclickorgs_one-click-orgs\app\controllers\associations_controller.rb, step:Then ]
[name:new, type:CompaniesController, file:oneclickorgs_one-click-orgs\app\controllers\companies_controller.rb, step:Then ]
[name:objectives, type:Organisation, file:oneclickorgs_one-click-orgs\app\models\organisation.rb, step:Then ]
[name:order, type:Object, file:null, step:When ]
[name:order, type:Object, file:null, step:Then ]
[name:organisation, type:Meeting, file:oneclickorgs_one-click-orgs\app\models\meeting.rb, step:Then ]
[name:page, type:Object, file:null, step:Then ]
[name:page, type:Object, file:null, step:When ]
[name:passed?, type:Object, file:null, step:Given ]
[name:password, type:Object, file:null, step:Given ]
[name:path, type:Object, file:null, step:When ]
[name:path, type:Object, file:null, step:Then ]
[name:path_to, type:Paths, file:oneclickorgs_one-click-orgs\features\support\paths.rb, step:Then ]
[name:pending, type:Object, file:null, step:Given ]
[name:push, type:Object, file:null, step:Then ]
[name:raise, type:Object, file:null, step:Then ]
[name:raise, type:Object, file:null, step:Given ]
[name:reload, type:Object, file:null, step:Given ]
[name:reload, type:Object, file:null, step:Then ]
[name:respond_to?, type:Object, file:null, step:Then ]
[name:response_headers, type:Object, file:null, step:Then ]
[name:reverse, type:Object, file:null, step:Then ]
[name:select, type:Object, file:null, step:Then ]
[name:select, type:Object, file:null, step:When ]
[name:selector_for, type:Selectors, file:oneclickorgs_one-click-orgs\features\support\selectors.rb, step:Then ]
[name:send, type:Object, file:null, step:Then ]
[name:set_text!, type:Clause, file:oneclickorgs_one-click-orgs\app\models\clause.rb, step:Given ]
[name:show, type:MembersController, file:oneclickorgs_one-click-orgs\app\controllers\members_controller.rb, step:Then ]
[name:show, type:ProposalsController, file:oneclickorgs_one-click-orgs\app\controllers\proposals_controller.rb, step:Then ]
[name:show, type:MeetingsController, file:oneclickorgs_one-click-orgs\app\controllers\meetings_controller.rb, step:Then ]
[name:show, type:MeetingsController, file:oneclickorgs_one-click-orgs\app\controllers\meetings_controller.rb, step:Given ]
[name:show, type:MembersController, file:oneclickorgs_one-click-orgs\app\controllers\members_controller.rb, step:Given ]
[name:sleep, type:Object, file:null, step:When ]
[name:split, type:Object, file:null, step:When ]
[name:split, type:Object, file:null, step:Given ]
[name:strftime, type:Object, file:null, step:When ]
[name:sub, type:Object, file:null, step:When ]
[name:sub, type:Object, file:null, step:Then ]
[name:subject, type:Object, file:null, step:Given ]
[name:subject, type:Object, file:null, step:Then ]
[name:to, type:Object, file:null, step:Then ]
[name:to_s, type:Clause, file:oneclickorgs_one-click-orgs\app\models\clause.rb, step:When ]
[name:to_s, type:Object, file:null, step:Then ]
[name:to_sym, type:Object, file:null, step:Then ]
[name:to_sym, type:Object, file:null, step:Given ]
[name:user_logs_in, type:AuthenticationSteps, file:oneclickorgs_one-click-orgs\features\step_definitions\authentication_steps.rb, step:Given ]
[name:user_logs_in, type:AuthenticationSteps, file:oneclickorgs_one-click-orgs\features\step_definitions\authentication_steps.rb, step:When ]
[name:votes, type:Object, file:null, step:Then ]
[name:voting_period, type:Constitution, file:oneclickorgs_one-click-orgs\app\models\constitution.rb, step:Then ]
[name:voting_period, type:FoundAssociationProposal, file:oneclickorgs_one-click-orgs\app\models\found_association_proposal.rb, step:Then ]
[name:voting_period, type:Organisation, file:oneclickorgs_one-click-orgs\app\models\organisation.rb, step:Then ]
[name:voting_period, type:Proposal, file:oneclickorgs_one-click-orgs\app\models\proposal.rb, step:Then ]
[name:voting_system, type:Constitution, file:oneclickorgs_one-click-orgs\app\models\constitution.rb, step:Then ]
[name:where, type:Object, file:null, step:Then ]
[name:where, type:Object, file:null, step:Given ]
[name:where, type:Object, file:null, step:When ]
[name:with_scope, type:WebSteps, file:oneclickorgs_one-click-orgs\features\step_definitions\web_steps.rb, step:Then ]
[name:with_scope, type:WebSteps, file:oneclickorgs_one-click-orgs\features\step_definitions\web_steps.rb, step:When ]
[name:within, type:Object, file:null, step:Then ]
[name:within, type:Object, file:null, step:When ]
[name:year, type:Object, file:null, step:When ]

Referenced pages: 34
oneclickorgs_one-click-orgs\app\views\add_member_proposals\_form.html.haml
oneclickorgs_one-click-orgs\app\views\associations\new.html.haml
oneclickorgs_one-click-orgs\app\views\companies\new.html.haml
