"Repository","https://github.com/diaspora/diaspora.git"
"Correlation Jaccard Text-Real","0.81"
"Correlation Cosine Text-Real","0.82"
"Task_A","Task_B","Text","Test_Jaccard","Real_Jaccard","Test_Cosine","Real_Cosine"
"1417","1423","0.9999999999999999","1.0","1.0","0.9999999999999998","1.0000000000000002"
"1417","1395","0.9974475666268426","0.962406015","0.8633093525","0.9903306726644174","0.9619257792674428"
"1417","1148","0.7940202135120963","0.690647482","0.0245398773","0.9011006485707496","0.10793086543986267"
"1417","1360","0.9415828180697392","0.7285714286","0.1901408451","0.9157193792329342","0.5304836045169184"
"1417","1032","0.8167310616765693","0.6666666667","0.0206896552","0.8907052149967726","0.11353134489128947"
"1417","1134","0.8279699665278549","0.6690647482","0.0149253731","0.8922531093770034","0.12309149097933272"
"1417","1292","0.6960306219878746","0.6618705036","0.0","0.889231373981118","0.0"
"1417","1063","0.7479391967301939","0.6444444444","0.0147058824","0.8833056336214451","0.11009637651263607"
"1417","1100","0.7218139516398757","0.6666666667","0.0","0.8907052149967726","0.0"
"1423","1395","0.9974475666268426","0.962406015","0.8633093525","0.9903306726644174","0.9619257792674428"
"1423","1148","0.7940202135120963","0.690647482","0.0245398773","0.9011006485707496","0.10793086543986267"
"1423","1360","0.9415828180697392","0.7285714286","0.1901408451","0.9157193792329342","0.5304836045169184"
"1423","1032","0.8167310616765693","0.6666666667","0.0206896552","0.8907052149967726","0.11353134489128947"
"1423","1134","0.8279699665278549","0.6690647482","0.0149253731","0.8922531093770034","0.12309149097933272"
"1423","1292","0.6960306219878746","0.6618705036","0.0","0.889231373981118","0.0"
"1423","1063","0.7479391967301939","0.6444444444","0.0147058824","0.8833056336214451","0.11009637651263607"
"1423","1100","0.7218139516398757","0.6666666667","0.0","0.8907052149967726","0.0"
"1395","1148","0.7933324294392601","0.6956521739","0.024691358","0.9030920336482534","0.1083358607293571"
"1395","1360","0.9355344079833441","0.7092198582","0.1586206897","0.9078724764779799","0.4738492449724393"
"1395","1032","0.8177190801237167","0.6714285714","0.0068493151","0.8926911822671639","0.040242181829276684"
"1395","1134","0.8167575049940687","0.6739130435","0.015037594","0.8942514391127537","0.12356041264304309"
"1395","1292","0.6903038135664963","0.6666666667","0.0","0.8912318970359479","0.0"
"1395","1063","0.7635727339195387","0.6492537313","0.0148148148","0.8853385606685611","0.11051579279910752"
"1395","1100","0.7258549244684684","0.6714285714","0.0074074074","0.8926911822671639","0.062017367294604234"
"1148","1360","0.7766797357076396","0.7479674797","0.0133333333","0.922447734051584","0.051298917604257706"
"1148","1032","0.6593175120103566","0.7777777778","0.0","0.9333333333333333","0.0"
"1148","1134","0.6378466727521396","0.7521367521","0.0","0.9239131562447777","0.0"
"1148","1292","0.5224548075247804","0.7435897436","0.0","0.9206864708292963","0.0"
"1148","1063","0.591530853224549","0.8396226415","0.0","0.9550037903031482","0.0"
"1148","1100","0.5988378797724213","0.7777777778","0.0","0.9333333333333333","0.0"
"1360","1032","0.7779508561640137","0.8695652174","0.0363636364","0.9639925649468175","0.13968605915391563"
"1360","1134","0.7935086024472534","0.8434782609","0.0227272727","0.9559550401823503","0.11952286093343936"
"1360","1292","0.6642104896617422","0.8839285714","0.0","0.9685655203778916","0.0"
"1360","1063","0.6939708074146291","0.7413793103","0.0","0.921104068641698","0.0"
"1360","1100","0.7340271602390842","0.8695652174","0.0697674419","0.9639925649468175","0.2927700218845599"
"1032","1134","0.6433595876029925","0.880733945","0.0","0.9672820259709665","0.0"
"1032","1292","0.5771105867442357","0.9428571429","0.0","0.9851233953506198","0.0"
"1032","1063","0.6310633667092204","0.7889908257","0.04","0.9379183079055926","0.15294382258037448"
"1032","1100","0.7256208624042177","1.0","0.1904761905","1.0000000000000002","0.5142594772265799"
"1134","1292","0.7100595366020792","0.9142857143","0.0","0.9771023998341895","0.0"
"1134","1063","0.5855149032032066","0.8113207547","0.0","0.9454117823310314","0.0"
"1134","1100","0.6192501327489727","0.880733945","0.0","0.9672820259709665","0.0"
"1292","1063","0.5315467284172455","0.819047619","0.0","0.9479498051053179","0.0"
"1292","1100","0.5280308468124523","0.9428571429","0.0","0.9851233953506198","0.0"
"1063","1100","0.5771219321155615","0.7889908257","0.0","0.9379183079055926","0.0"
